Author,uTime,Text
ML Gani,1578307245,পচশ উনশ শ সলর আগ জনম অথচ কটকট খওখন নই এরকম কউ ক গরপ আছআছন  Provide translation to English
Md Lutfor Rahman,1578145799,ড. আ.স.ও. করণ সযরর সমরণ সভয় আজ সনধযয় বয়ট অডটরয়ম  Provide translation to English
Atik Amin,1578404940,"ইঞজনযর ভইর, দখন কছ কর যয় কন..  Provide translation to English"
আবু জাহেদ,1578034130,Opportunity encashment.  Provide translation to Bengali
মহিউদ্দিন খালেদ,1578539989,"এলজইডর পরথম পরধন পরকশল ইঞজনয়র খনদকর মশররফ হসন, কমরল ইসলম সদদক সযর পরমখ থক আজ পরযনত পরয় সকলই বয়টয়ন গরবর বষয় সসথর লড পজশনও অতরকত পরধন পরকশলর মধয যর active বয়টয়নদর সরব উপসথত লকষণয় Just share my thoughts.  Provide translation to English"
Shaheen Aziz,1578511182,Bullet is bullet...  Provide translation to Bengali
Hilton Das,1578385175,
Jahid Talukder,1578343300,EVERY NATION GETS THE GOVERNMENT IT DESERVES  Provide translation to Bengali
Swapan Mandal,1578388673, রপতন বলদশ ছতরলগ ভরত য রপতন করত সফল হয়ছ ত হল সকল শকষ পরতষঠন সনতরস করমকনড ছতরলগয় কয়দয় জএনইউত হমল করছ ইনডয়র বজপর ছতর সগঠনর সনতরস ভপ নরর মত জএনইউর ভপক মর রকতকত করছ দশ আলদ হলও সনতরস আলদ নয়  Provide translation to English
Rashedul Hasan Kauser,1578317586,"ভরতয় আগরসন, নয়নতরণ এব অপমন থক বচত বলদশর ক কর উচৎ  Provide translation to English"
